State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles , Service Area Pop ,Primary UZA UACE Code,UZA Name,Tribal Area Name, Population , Density , Sq Miles , VOMS DO , VOMS PT , Total VOMS , Volunteer Drivers , Personal Vehicles ,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
,00001,0001,King County Department of Metro Transit,KCM,King County Metro,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,201 S Jackson St,M.S. KSC-TR-0333,,Seattle,WA,98104,3854,10,http://metro.kingcounty.gov/,1731,E1D1LQ5QENJ8," 2,134 "," 2,287,050 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607 ", 983 ," 1,667 ", 362 ," 2,029 ",,,Tier I (Rail),,,
,00002,0002,Spokane Transit Authority,STA,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,1230 W Boone Ave,,,Spokane,WA,99201,2658,10,http://www.spokanetransit.com/,1733,QV32KQAKHCE3, 248 ," 459,007 ",83764,"Spokane, WA",," 447,279 "," 2,605 ", 172 , 247 , 32 , 279 ,,,Tier I (Fixed Route VOMS),,,
,00003,0003,Pierce County Transportation Benefit Area Authority,Pierce Transit,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,12/31/2022,4/30/2023,3701 96Th St Sw,,99070,Lakewood,WA,98499,4431,10,http://www.piercetransit.org/,1730,QACHE3STYGK3, 292 ," 575,963 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607 ", 983 , 322 , 60 , 382 ,,,Tier I (Non-Fixed Route VOMS),,,
,00004,0T04,Confederated Tribes of the Colville Indian Reservation,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2022,1/31/2023,21 Colville St,,150,Nespelem,WA,99155,,10,https://www.colvilletribes.com/transit-inchelium-ferry,6683,NU9UAKLRDDP1,,,53,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 5 ,, 5 ,,,Tier II,,,
,00005,0005,City of Everett,ET,EVERETT TRANSIT,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,3201 Smith Ave Ste 215,,,Everett,WA,98201,4594,10,http://www.everetttransit.org/,1743,NB35N2NU35J3, 34 ," 110,629 ",80389,"Seattle--Tacoma, WA",," 3,544,011 "," 3,607 ", 983 , 42 ,, 42 ,,,Tier II,,,
,00006,0006,City of Yakima,YT,Yakima Transit,Full Reporter,Urban,County or Local Government Unit or Department of Transportation,,,,12/31/2022,4/30/2023,129 N 2Nd St,,,Yakima,WA,98901,2613,10,http://www.yakimatransit.org/,1750,FJNNX1XFJ9K3, 33 ," 100,715 ",97507,"Yakima, WA",," 133,145 "," 2,387 ", 56 , 18 , 26 , 44 ,,,Tier II,,,
,00007,0007,Lane Transit District,LTD,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,6/30/2022,10/31/2022,3500 E 17Th Ave,,,Eugene,OR,97403,2375,10,http://www.ltd.org/,1738,U5LFCFM1A8J5, 482 ," 317,600 ",28117,"Eugene, OR",," 270,179 "," 3,677 ", 73 , 65 , 55 , 120 ,,,Tier II,,,
,00008,0008,Tri-County Metropolitan Transportation District of Oregon,TriMet,,Full Reporter,Urban,Public Agency or Authority of Transit Service,,,,6/30/2022,10/31/2022,1800 Sw 1St Ave Ste 300,,,Portland,OR,97201,5354,10,http://www.trimet.org/,1728,YXFYCBFAF5S3, 383 ," 1,558,315 ",71317,"Portland, OR--WA",," 2,104,238 "," 4,052 ", 519 , 592 , 161 , 753 ,,,Tier I (Rail),,,
,00009,0T09,Kalispel Tribe of Indians,KTI,,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,1981 N Leclerc Rd,,39,Cusick,WA,99119,9682,10,http://www.kalispeltribe.com/,6680,XY4MRBMRTWL5,,,53,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 1 ,, 1 ,,,Tier II,,,
,00010,0T10,Klamath Tribes,KT,,Reduced Reporter,Tribe,Tribe,,,,12/31/2022,4/30/2023,501 S. Chiloquin Blvd.,,436,Chiloquin,OR,97624,6773,10,https://klamathtribes.org/planning-and-enterprise-department/,6806,SH4JJFWHQHH4, -   , -   ,41,Oregon Non-UZA,"Klamath Reservation, OR"," 1,553,447 ", -   , -   , 7 ,, 7 ,,,Tier II,,,
