name,county_fips,state_usps
"Adrian, MI",091,MI
"Akron, OH",133,OH
"Akron, OH",153,OH
"Albany-Schenectady-Troy, NY",001,NY
"Albany-Schenectady-Troy, NY",083,NY
"Albany-Schenectady-Troy, NY",091,NY
"Albany-Schenectady-Troy, NY",093,NY
"Albany-Schenectady-Troy, NY",095,NY
"Albert Lea, MN",047,MN
"Alexandria, MN",041,MN
"Allentown-Bethlehem-Easton, PA-NJ",041,NJ
"Allentown-Bethlehem-Easton, PA-NJ",025,PA
"Allentown-Bethlehem-Easton, PA-NJ",077,PA
"Allentown-Bethlehem-Easton, PA-NJ",095,PA
"Alma, MI",057,MI
"Alpena, MI",007,MI
"Altoona, PA",013,PA
"Amsterdam, NY",057,NY
"Angola, IN",151,IN
"Ann Arbor, MI",161,MI
"Appleton, WI",015,WI
"Appleton, WI",087,WI
"Ashland, OH",005,OH
"Athens, OH",009,OH
"Auburn, IN",033,IN
"Auburn, NY",011,NY
"Augusta-Waterville, ME",011,ME
"Austin, MN",099,MN
"Bangor, ME",019,ME
"Baraboo, WI",111,WI
"Barre, VT",023,VT
"Batavia, NY",037,NY
"Battle Creek, MI",025,MI
"Bay City, MI",017,MI
"Beaver Dam, WI",027,WI
"Bedford, IN",093,IN
"Bellefontaine, OH",091,OH
"Bemidji, MN",007,MN
"Bennington, VT",003,VT
"Big Rapids, MI",107,MI
"Binghamton, NY",007,NY
"Binghamton, NY",107,NY
"Bismarck, ND",015,ND
"Bismarck, ND",059,ND
"Bismarck, ND",065,ND
"Bloomington, IL",113,IL
"Bloomington, IN",105,IN
"Bloomington, IN",119,IN
"Bloomsburg-Berwick, PA",037,PA
"Bradford, PA",083,PA
"Brainerd, MN",021,MN
"Brainerd, MN",035,MN
"Buffalo-Cheektowaga, NY",029,NY
"Buffalo-Cheektowaga, NY",063,NY
"Burlington, IA-IL",071,IL
"Burlington, IA-IL",057,IA
"Burlington-South Burlington, VT",007,VT
"Burlington-South Burlington, VT",011,VT
"Burlington-South Burlington, VT",013,VT
"Cadillac, MI",113,MI
"Cadillac, MI",165,MI
"Cambridge, OH",059,OH
"Canton-Massillon, OH",019,OH
"Canton-Massillon, OH",151,OH
"Cape Girardeau, MO-IL",003,IL
"Cape Girardeau, MO-IL",017,MO
"Cape Girardeau, MO-IL",031,MO
"Celina, OH",107,OH
"Centralia, IL",121,IL
"Champaign-Urbana, IL",019,IL
"Champaign-Urbana, IL",053,IL
"Champaign-Urbana, IL",147,IL
"Charleston-Mattoon, IL",029,IL
"Chillicothe, OH",141,OH
"Cincinnati, OH-KY-IN",029,IN
"Cincinnati, OH-KY-IN",047,IN
"Cincinnati, OH-KY-IN",115,IN
"Cincinnati, OH-KY-IN",015,KY
"Cincinnati, OH-KY-IN",023,KY
"Cincinnati, OH-KY-IN",037,KY
"Cincinnati, OH-KY-IN",077,KY
"Cincinnati, OH-KY-IN",081,KY
"Cincinnati, OH-KY-IN",117,KY
"Cincinnati, OH-KY-IN",191,KY
"Cincinnati, OH-KY-IN",015,OH
"Cincinnati, OH-KY-IN",017,OH
"Cincinnati, OH-KY-IN",025,OH
"Cincinnati, OH-KY-IN",061,OH
"Cincinnati, OH-KY-IN",165,OH
"Coldwater, MI",023,MI
"Columbus, IN",005,IN
"Columbus, OH",041,OH
"Columbus, OH",045,OH
"Columbus, OH",049,OH
"Columbus, OH",073,OH
"Columbus, OH",089,OH
"Columbus, OH",097,OH
"Columbus, OH",117,OH
"Columbus, OH",127,OH
"Columbus, OH",129,OH
"Columbus, OH",159,OH
"Concord, NH",013,NH
"Connersville, IN",041,IN
"Corning, NY",101,NY
"Cortland, NY",023,NY
"Coshocton, OH",031,OH
"Crawfordsville, IN",107,IN
"Danville, IL",183,IL
"Davenport-Moline-Rock Island, IA-IL",073,IL
"Davenport-Moline-Rock Island, IA-IL",131,IL
"Davenport-Moline-Rock Island, IA-IL",161,IL
"Davenport-Moline-Rock Island, IA-IL",163,IA
"Decatur, IL",115,IL
"Decatur, IN",001,IN
"Defiance, OH",039,OH
"Detroit-Warren-Dearborn, MI",163,MI
"Detroit-Warren-Dearborn, MI",087,MI
"Detroit-Warren-Dearborn, MI",093,MI
"Detroit-Warren-Dearborn, MI",099,MI
"Detroit-Warren-Dearborn, MI",125,MI
"Detroit-Warren-Dearborn, MI",147,MI
"Dickinson, ND",007,ND
"Dickinson, ND",025,ND
"Dickinson, ND",089,ND
"Dixon, IL",103,IL
"DuBois, PA",033,PA
"Duluth, MN-WI",017,MN
"Duluth, MN-WI",137,MN
"Duluth, MN-WI",031,WI
"East Stroudsburg, PA",089,PA
"Eau Claire, WI",017,WI
"Eau Claire, WI",035,WI
"Effingham, IL",035,IL
"Effingham, IL",049,IL
"Elkhart-Goshen, IN",039,IN
"Elmira, NY",015,NY
"Erie, PA",049,PA
"Escanaba, MI",041,MI
"Fairmont, MN",091,MN
"Fargo, ND-MN",027,MN
"Fargo, ND-MN",017,ND
"Faribault-Northfield, MN",131,MN
"Fergus Falls, MN",111,MN
"Findlay, OH",063,OH
"Flint, MI",049,MI
"Fond du Lac, WI",039,WI
"Fort Wayne, IN",003,IN
"Fort Wayne, IN",179,IN
"Fort Wayne, IN",183,IN
"Frankfort, IN",023,IN
"Freeport, IL",177,IL
"Fremont, OH",143,OH
"Galesburg, IL",095,IL
"Gettysburg, PA",001,PA
"Glens Falls, NY",113,NY
"Glens Falls, NY",115,NY
"Gloversville, NY",035,NY
"Grand Forks, ND-MN",119,MN
"Grand Forks, ND-MN",035,ND
"Grand Rapids, MN",061,MN
"Green Bay, WI",009,WI
"Green Bay, WI",061,WI
"Green Bay, WI",083,WI
"Greensburg, IN",031,IN
"Greenville, OH",037,OH
"Harrisburg-Carlisle, PA",041,PA
"Harrisburg-Carlisle, PA",043,PA
"Harrisburg-Carlisle, PA",099,PA
"Hillsdale, MI",059,MI
"Holland, MI",005,MI
"Houghton, MI",061,MI
"Houghton, MI",083,MI
"Hudson, NY",021,NY
"Huntingdon, PA",061,PA
"Huntington, IN",069,IN
"Huntington-Ashland, WV-KY-OH",019,KY
"Huntington-Ashland, WV-KY-OH",043,KY
"Huntington-Ashland, WV-KY-OH",089,KY
"Huntington-Ashland, WV-KY-OH",127,KY
"Huntington-Ashland, WV-KY-OH",087,OH
"Huntington-Ashland, WV-KY-OH",011,WV
"Huntington-Ashland, WV-KY-OH",079,WV
"Huntington-Ashland, WV-KY-OH",099,WV
"Hutchinson, MN",085,MN
"Indiana, PA",063,PA
"Iron Mountain, MI-WI",043,MI
"Iron Mountain, MI-WI",037,WI
"Ithaca, NY",109,NY
"Jackson, MI",075,MI
"Jacksonville, IL",137,IL
"Jacksonville, IL",171,IL
"Jamestown, ND",093,ND
"Janesville-Beloit, WI",105,WI
"Jasper, IN",037,IN
"Johnstown, PA",021,PA
"Kalamazoo-Portage, MI",077,MI
"Kankakee, IL",091,IL
"Keene, NH",005,NH
"Kendallville, IN",113,IN
"Kingston, NY",111,NY
"Kokomo, IN",067,IN
"Laconia, NH",001,NH
"La Crosse-Onalaska, WI-MN",055,MN
"La Crosse-Onalaska, WI-MN",063,WI
"La Crosse-Onalaska, WI-MN",123,WI
"Lafayette-West Lafayette, IN",007,IN
"Lafayette-West Lafayette, IN",015,IN
"Lafayette-West Lafayette, IN",157,IN
"Lafayette-West Lafayette, IN",171,IN
"Lancaster, PA",071,PA
"Lansing-East Lansing, MI",037,MI
"Lansing-East Lansing, MI",045,MI
"Lansing-East Lansing, MI",065,MI
"Lebanon, PA",075,PA
"Lewisburg, PA",119,PA
"Lewiston-Auburn, ME",001,ME
"Lewistown, PA",087,PA
"Lima, OH",003,OH
"Lincoln, IL",107,IL
"Lock Haven, PA",035,PA
"Logansport, IN",017,IN
"Louisville/Jefferson County, KY-IN",019,IN
"Louisville/Jefferson County, KY-IN",043,IN
"Louisville/Jefferson County, KY-IN",061,IN
"Louisville/Jefferson County, KY-IN",175,IN
"Louisville/Jefferson County, KY-IN",029,KY
"Louisville/Jefferson County, KY-IN",103,KY
"Louisville/Jefferson County, KY-IN",111,KY
"Louisville/Jefferson County, KY-IN",163,KY
"Louisville/Jefferson County, KY-IN",179,KY
"Louisville/Jefferson County, KY-IN",185,KY
"Louisville/Jefferson County, KY-IN",211,KY
"Louisville/Jefferson County, KY-IN",215,KY
"Ludington, MI",105,MI
"Macomb, IL",109,IL
"Madison, IN",077,IN
"Madison, WI",021,WI
"Madison, WI",025,WI
"Madison, WI",045,WI
"Madison, WI",049,WI
"Manchester-Nashua, NH",011,NH
"Manitowoc, WI",071,WI
"Mankato, MN",013,MN
