County Code,County Title,MSA Code,MSA Title,CSA Code,CSA Title
47023,"Chester County, Tennessee",C2718,"Jackson, TN MSA",,
47029,"Cocke County, Tennessee",C3546,"Newport, TN MicroSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
47031,"Coffee County, Tennessee",C4610,"Tullahoma-Manchester, TN MicroSA",,
47033,"Crockett County, Tennessee",C2718,"Jackson, TN MSA",,
47035,"Cumberland County, Tennessee",C1890,"Crossville, TN MicroSA",,
47037,"Davidson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47043,"Dickson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47045,"Dyer County, Tennessee",C2054,"Dyersburg, TN MicroSA",,
47047,"Fayette County, Tennessee",C3282,"Memphis, TN-MS-AR MSA",CS368,"Memphis-Forrest City, TN-MS-AR CSA"
47051,"Franklin County, Tennessee",C4610,"Tullahoma-Manchester, TN MicroSA",,
47057,"Grainger County, Tennessee",C2894,"Knoxville, TN MSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
47059,"Greene County, Tennessee",C2462,"Greeneville, TN MicroSA",,
47063,"Hamblen County, Tennessee",C3410,"Morristown, TN MSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
47065,"Hamilton County, Tennessee",C1686,"Chattanooga, TN-GA MSA",CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
47073,"Hawkins County, Tennessee",C2870,"Kingsport-Bristol-Bristol, TN-VA MSA",CS304,"Johnson City-Kingsport-Bristol, TN-VA CSA"
47079,"Henry County, Tennessee",C3754,"Paris, TN MicroSA",,
47081,"Hickman County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
47087,"Jackson County, Tennessee",C1826,"Cookeville, TN MicroSA",,
47089,"Jefferson County, Tennessee",C3410,"Morristown, TN MSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
47093,"Knox County, Tennessee",C2894,"Knoxville, TN MSA",CS314,"Knoxville-Morristown-Sevierville, TN CSA"
47099,"Lawrence County, Tennessee",C2998,"Lawrenceburg, TN MicroSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA"
